Gene1,Gene2
BRD4,FZD5
BRD4,G6PD
BRD4,GABARAP
BRD4,GADD45GIP1
BRD4,GALNT18
BRD4,GATA2
BRD4,GCLC
BRD4,GDF9
BRD4,GPATCH3
BRD4,GPR27
BRD4,GPX2
BRD4,GSG1
BRD4,GSK3A
BRD4,GSR
BRD4,GTPBP6
BRD4,HAS2
BRD4,HDHD3
BRD4,HIF1A-AS1
BRD4,HINT2
BRD4,HJURP
BRD4,HM13-AS1
BRD4,HMGCS1
BRD4,HNRNPA0
BRD4,HNRNPH1
BRD4,HNRNPL
BRD4,HOTAIR
BRD4,HOXB13
BRD4,HR
BRD4,IGDCC4
BRD4,IGSF11
BRD4,IMPDH1
BRD4,INPP4B
BRD4,INPP5E
BRD4,INTS5
BRD4,IRF2BP1
BRD4,ISOC2
BRD4,JMJD4
BRD4,JTB
BRD4,KCNJ11
BRD4,KIFC3
BRD4,KLF9
BRD4,KLHL35
BRD4,KRT8
BRD4,LAD1
BRD4,LAGE3
BRD4,LAMA5
BRD4,LAMB2
BRD4,LAPTM4A
BRD4,LDHB
BRD4,LENG9
BRD4,LINC00111
BRD4,LINC00543
BRD4,LINC00598
BRD4,LINC00677
BRD4,LINC00705
BRD4,LONP1
BRD4,LRPAP1
BRD4,LRRC59
BRD4,LSM7
BRD4,LTBP3
BRD4,LYNX1
BRD4,MAGEF1
BRD4,MAN2C1
BRD4,MATN1-AS1
BRD4,MCAT
BRD4,MCIDAS
BRD4,MCL1
BRD4,MCOLN3
BRD4,MCRS1
BRD4,MED20
BRD4,MFGE8
BRD4,MGAT1
BRD4,MGAT4B
BRD4,MIR22HG
BRD4,MIR3193
BRD4,MLF2
BRD4,MRPL16
BRD4,MRPS15
BRD4,MSMP
BRD4,MST1L
BRD4,MTMR11
BRD4,MUC1
BRD4,MUL1
BRD4,MYL2
BRD4,NAMPT
BRD4,NAT9
BRD4,NCL
BRD4,NDUFA4L2
BRD4,NHLRC1
BRD4,NIPSNAP3B
BRD4,NKX3-1
BRD4,NOL6
BRD4,NPDC1
BRD4,NR1D1
BRD4,NR2F6
BRD4,NSMF
BRD4,NT5C
BRD4,NTRK3
BRD4,NUDT18
BRD4,NUDT8
BRD4,OPLAH
BRD4,OSCAR
BRD4,OSR1
BRD4,P4HB
BRD4,PARP10
BRD4,PARP12
BRD4,PCDH9
BRD4,PCGF1
BRD4,PDAP1
BRD4,PDIA4
BRD4,PKMYT1
BRD4,PLD6
BRD4,PLEC
BRD4,PLXNB2
BRD4,POLD2
BRD4,POLM
BRD4,POLR2I
BRD4,POLR2J
BRD4,POLR2L
BRD4,PPP1CA
BRD4,PPP1R9B
BRD4,PRDX1
BRD4,PRR15L
BRD4,PRR7-AS1
BRD4,PRSS27
BRD4,PSAP
BRD4,PSG8
BRD4,PSMC3IP
BRD4,PTGES2
BRD4,PTGR1
BRD4,PTHLH
BRD4,PTK6
BRD4,PTRH1
BRD4,PTRHD1
BRD4,PXMP4
BRD4,PYCR1
BRD4,RAB11B-AS1
BRD4,RAB34
BRD4,RABAC1
BRD4,RABGGTA
BRD4,RBFOX3
BRD4,REEP4
BRD4,RGS9BP
BRD4,ROBO3
BRD4,RPL22
BRD4,RPL8
BRD4,RPP25L
BRD4,RPS16
