Gene1,Gene2
MYC,WNT10B
MYC,ZFP36
MYC,FOSL1
MYC,CTSF
MYC,NR1D1
RARB,HOXA5
RELA,NQO1
RELA,FOSB
RELA,IRF7
RELA,STC2
SP1,C1QBP
SP1,COL7A1
SP1,F10
SP1,PTK6
SP1,SLC19A1
SP1,THBD
TP53,FASN
TP53,JAG2
TP53,POLD2
TP53,MGA
TP53,SYVN1
USF2,AR
TP63,NR3C1
TP63,POLD2
AR,EP300
AR,FN1
AR,FOXA1
FOXA1,AR
AR,REST
REST,AR
AR,UCN
AR,WNT7B
ARID1A,SMAD3
ARNT,BHLHE40
ARNT,JUN
MYC,BCL6
BCL6,MYC
BCL6,XBP1
CDX2,SP1
CDX2,UGT2B17
CEBPB,CSRP1
CEBPB,IL13
CEBPB,PRDM1
CEBPB,SLC10A1
CREB1,GABPA
CREB1,GSK3A
CREB1,NR2F6
CREB1,POLD2
CREB1,PTGES
CREB1,SLC19A1
CTCF,DMPK
CTCF,ETNK2
CTCF,SIX5
E2F1,AURKB
E2F1,RASGRP1
E2F1,RNF2
E2F1,TOP2A
E2F6,IL13
ELK1,CITED2
ELK1,EZH2
EP300,ALOX15
EP300,EZH2
EP300,IGFBP3
EP300,KRT16
MYC,EP300
EP300,MYC
EP300,RELA
EP300,S100A4
EP300,THBD
EP300,WT1
YY1,EP300
EP300,YY1
EPAS1,COL10A1
USF2,EPAS1
EPAS1,USF2
ESRRA,NR2F6
ETS1,COL1A1
ETS1,GP6
ETS1,SPRY2
FOSL1,EZH2
FOSL2,BCL6
FOSL2,FOSL1
FOXA1,MYC
FOXA1,NKX2-1
FOXA2,AGR2
FOXA2,NKX2-1
FOXA2,NR5A2
FOXA2,TFF1
FOXD3,RARB
FOXJ1,ASPM
FOXM1,AR
GATA3,CDX2
GATA3,RELA
RELA,GATA3
HEY2,GATA4
HEYL,AR
HIF1A,AR
HIF1A,ENO1
HIF1A,NR3C1
HIF1A,PPP1R3C
HIF1A,PTGES
HIF1A,TIMP2
IRF1,E2F1
JUN,CCK
JUN,EZH2
JUN,HEY1
JUN,NAMPT
JUN,NEFL
JUN,POLD2
JUN,RARB
JUN,SLC19A1
JUN,SOX7
JUN,TIMP2
JUND,BCL6
